Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2023_q2,,Pilonidal Cyst Surgery,,Total,Provincial,2023,2,57,230,93,350
12month_rolling,General Surgery,Gallbladder Surgery,"Kelly, Ryan Patrick",,,,,226,675,232,543
12month_rolling,Thoracic Surgery,Nissen Fundoplication - Laparoscopic,"Plourde, Madelaine M",,,,,152,1225,120,1479
2024_q2,,Head and Neck Surgery,,Zone 4,Dartmouth General,2024,2,46,253,135,468
2024_q2,,Thoroscopy / Pleuroscopy,,Total,Provincial,2024,2,4,22,17,202
2024_q3,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2024,3,37,209,92,189
2023_q3,,Kidney Removal,,Total,Provincial,2023,3,18,57,64,117
2023_q1,,Hernia Repair  (Pediatric),,IWK,IWK,2023,1,65,89,79,185
2022_q3,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2022,3,34,62,102,225
2023_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 1,South Shore Regional,2023,3,,,58,164
2022_q4,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2022,4,103,389,202,305
3month_rolling,,Colorectal Cancer Surgery,,Zone 1,South Shore Regional,2024,3,15,37,29,57
2022_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,IWK,IWK,2022,4,76,132,85,172
2023_q2,,Shoulder Arthroplasty,,Total,Provincial,2023,2,157,511,315,596
2024_q3,,Tendon / Ligament Repair,,IWK,IWK,2024,3,,,162,520
2023_q3,,Endometrial Ablation,,Total,Provincial,2023,3,83,373,75,253
2024_q1,,Hysteroscopy,,Zone 3,St. Martha's Regional,2024,1,53,1003,64,175
3month_rolling,,Maxillofacial Deformity Surgery,,Zone 4,QE2,2024,3,151,426,240,588
2024_q2,,Gallbladder Surgery,,Zone 4,QE2,2024,2,56,157,61,219
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2024,3,31,273,67,192
2023_q4,,Cataract Surgery,,Zone 1,Yarmouth Regional,2023,4,234,298,54,147
3month_rolling,,Bowel Resection,,Zone 2,Aberdeen Hospital,2024,3,,,23,39
2024_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Glace Bay,2024,2,,,239,323
2022_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,QE2,2022,4,127,399,382,1076
2023_q3,,Cystoscopy,,Zone 1,Valley Regional,2023,3,26,54,41,324
2023_q4,,Gallbladder Surgery,,Zone 4,QE2,2023,4,28,129,38,227
2024_q1,,Gallbladder Surgery,,Zone 3,St. Martha's Regional,2024,1,35,99,90,236
2023_q2,,Aneurysm Repair,,Total,Provincial,2023,2,24,66,51,123
2022_q3,,Knee Scope,,Zone 1,Yarmouth Regional,2022,3,,,101,182
12month_rolling,Thoracic Surgery,Thymectomy,"Plourde, Madelaine M",,,,,43,54,245,400
2024_q2,,Knee Scope,,Zone 2,Aberdeen Hospital,2024,2,43,109,95,189
2023_q4,,Cystoscopy,,IWK,IWK,2023,4,,,56,168
3month_rolling,,Bladder Cancer Surgery,,Zone 3,Northside General,2024,3,,,64,187
12month_rolling,,Ankle - Arthrodesis,,Total,Provincial,2024,3,,,125,259
2023_q2,,Lacrimal Duct Probing,,Total,Provincial,2023,2,62,299,133,263
12month_rolling,Obstetrics/Gynaecology,All,"Zee, Rebekah",,,,,76,1072,90,188
12month_rolling,Otolaryngology (ENT),Septoplasty,"Scott, John",,,,,61,139,73,157
2023_q2,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2023,2,61,302,147,623
2022_q4,,Hernia Repair - Laparoscopic Inguinal Femoral,,Total,Provincial,2022,4,55,530,84,253
12month_rolling,,Male Reproductive System Surgery,,Total,Provincial,2024,3,83,329,111,445
2023_q4,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2023,4,,,17,97
12month_rolling,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2024,3,29,224,36,133
2022_q3,,Hip Arthroscopy,,Total,Provincial,2022,3,73,327,216,592
2022_q3,,Cataract Surgery,,Zone 3,Cape Breton Regional,2022,3,45,225,28,86
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Lefel, Oleg",,,,,19,19,18,42
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"MacDonald, Blair",,,,,10,77,14,22
12month_rolling,General Surgery,Carpal Tunnel Surgery,"Wasserman, Lukas",,,,,22,39,118,256
2024_q1,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2024,1,,,12,16
2024_q3,,Hip Replacement,,Zone 3,Cape Breton Regional,2024,3,76,196,109,167
2023_q1,,Kidney / Upper Urinary Tract,,Total,Provincial,2023,1,63,485,50,265
2022_q4,,Prostatectomy,,Zone 4,QE2,2022,4,39,90,163,201
2024_q2,,Hernia Repair  (Adult),,Zone 4,Dartmouth General,2024,2,180,568,80,200
3month_rolling,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Glace Bay,2024,3,,,194,281
2022_q3,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2022,3,26,148,36,196
12month_rolling,Ophthalmology,Cataract Surgery,"Koetsie, Karen",,,,,47,106,38,146
2023_q1,,Prostatectomy,,Total,Provincial,2023,1,27,53,109,200
12month_rolling,,Hernia Repair - Umbilical,,Total,Provincial,2024,3,76,434,92,317
12month_rolling,,Orthopaedic Trauma,,Zone 1,Valley Regional,2024,3,66,204,35,85
2023_q2,,Male Reproductive System Surgery,,Zone 3,Glace Bay,2023,2,72,136,,
2023_q3,,Cornea and External Disease,,Zone 4,QE2,2023,3,88,163,77,452
2024_q2,,Breast Reconstruction,,Zone 4,QE2,2024,2,52,351,108,414
2023_q3,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 4,Dartmouth General,2023,3,81,701,69,127
12month_rolling,General Surgery,Gallbladder Surgery,"Hossain, Farisa",,,,,12,28,77,191
2023_q2,,Foot - Arthrodesis,,Zone 3,Cape Breton Regional,2023,2,,,58,96
2022_q3,,Prostatectomy,,Total,Provincial,2022,3,27,188,160,226
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Stewart, Riley",,,,,30,96,84,85
2023_q2,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2023,2,19,67,60,246
2024_q3,,Bowel Resection,,Zone 1,Valley Regional,2024,3,15,91,36,73
12month_rolling,Orthopaedic,Knee Scope,"Urquhart, Nathan Alexander",,,,,69,318,68,160
2024_q3,,Melanoma Excision,,Zone 4,QE2,2024,3,13,22,20,34
3month_rolling,,Melanoma Excision,,Zone 1,South Shore Regional,2024,3,24,50,29,42
2023_q1,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2023,1,42,91,56,196
12month_rolling,Ophthalmology,All,"Bata, Bashar",,,,,87,468,77,249
2024_q3,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2024,3,,,35,189
2024_q1,,Hip Replacement,,Zone 4,Dartmouth General,2024,1,214,413,118,477
2023_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,QE2,2023,3,112,392,503,1093
2024_q3,,Cornea and External Disease,,Total,Provincial,2024,3,56,232,206,428
12month_rolling,Orthopaedic,All,"Rayes, Johnny",,,,,62,163,74,151
2024_q1,,Hysteroscopy,,Zone 1,South Shore Regional,2024,1,28,114,49,78
2024_q2,,Hysteroscopy,,Total,Provincial,2024,2,47,272,52,123
2023_q4,,Gallbladder Surgery,,Zone 1,Valley Regional,2023,4,26,135,47,417
2023_q2,,Maxillofacial Deformity Surgery,,Total,Provincial,2023,2,195,427,201,678
12month_rolling,Thoracic Surgery,Esophagectomy / Esophageal Surgery,"Ednie, Alexander",,,,,21,67,49,111
2023_q2,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2023,2,176,320,126,365
2022_q4,,Foot - Arthrodesis,,Total,Provincial,2022,4,196,924,180,562
2022_q4,,Hernia Repair - Inguinal/Femoral,,Zone 3,St. Martha's Regional,2022,4,73,227,62,167
12month_rolling,Urology,Male Circumcision  (Adult),"McGregor, Thomas",,,,,48,52,84,156
2022_q3,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2022,3,149,322,54,386
2024_q3,,Male Circumcision  (Adult),,Zone 4,Hants Community Hospital,2024,3,,,97,214
2022_q3,,Thyroid or Parathyroid Surgery,,Zone 4,Dartmouth General,2022,3,52,131,147,631
2023_q4,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2023,4,,,92,303
2022_q4,,Endometrial Ablation,,Zone 1,Valley Regional,2022,4,,,97,309
12month_rolling,,Liver Surgery,,Total,Provincial,2024,3,15,39,22,76
2023_q1,,Bladder Surgery,,Zone 3,Cape Breton Regional,2023,1,,,27,77
12month_rolling,Neurosurgery,Back Surgery  (Adult),"McNeely, P Daniel",,,,,21,43,37,124
12month_rolling,Thoracic Surgery,Esophagectomy / Esophageal Surgery,"Wallace, Alison",,,,,27,29,32,78
2023_q1,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2023,1,35,297,18,81
2023_q4,,Bone / Cartilage Graft,,Total,Provincial,2023,4,113,306,123,218
2023_q4,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2023,4,61,105,169,288
12month_rolling,Otolaryngology (ENT),Tonsillectomy and/or Adenoidectomy  (Adult),"Massoud, Emad A",,,,,37,75,97,594
2022_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Martha's Regional,2022,4,,,154,215
12month_rolling,Dental,All,"MacLellan, Jennifer",,,,,71,544,219,769
12month_rolling,Orthopaedic,Knee Replacement,"Hayward, Andrew",,,,,192,382,49,112
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Walsh, Mark J",,,,,35,72,112,674
2023_q1,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2023,1,77,194,36,61
12month_rolling,Ophthalmology,Cataract Surgery,"O'Brien, Daniel Michael",,,,,93,245,33,65
2024_q3,,Knee Scope,,Zone 4,Dartmouth General,2024,3,90,199,84,191
2024_q3,,Chest Scopes  (Adult),,Total,Provincial,2024,3,,,19,378
2023_q4,,Prostate Surgery,,Zone 1,Yarmouth Regional,2023,4,,,97,175
2022_q4,,Manipulation of Extremity,,Total,Provincial,2022,4,,,75,178
2022_q3,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2022,3,38,133,74,343
2024_q3,,Breast Cancer Surgery,,Zone 4,QE2,2024,3,,,21,58
2023_q1,,Osteotomy,,Total,Provincial,2023,1,,,169,316
2022_q4,,Kidney Removal,,Zone 4,QE2,2022,4,24,66,62,237
2023_q3,,Osteotomy,,Total,Provincial,2023,3,,,37,62
2024_q3,,Cystoscopy,,Zone 1,Valley Regional,2024,3,34,93,52,189
3month_rolling,,Tubal Ligation,,Total,Provincial,2024,3,21,35,108,174
2022_q3,,Ear Tubes  (Pediatric),,Zone 3,Cape Breton Regional,2022,3,30,50,21,45
2023_q1,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Total,Provincial,2023,1,27,93,32,55
2022_q4,,Shoulder Surgery,,Zone 1,Valley Regional,2022,4,50,56,366,751
2022_q4,,Hysterectomy  (Cancer Not Suspected),,IWK,IWK,2022,4,212,609,131,237
2024_q2,,Aneurysm Repair,,Total,Provincial,2024,2,12,69,65,156
2022_q3,,Orthopaedic Trauma,,IWK,IWK,2022,3,,,7,144
2024_q2,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2024,2,142,206,70,95
2023_q1,,Strabismus Surgery  (Adult),,Zone 4,QE2,2023,1,287,1639,288,421
2024_q3,,Pacemaker Insertion,,Zone 1,Valley Regional,2024,3,,,7,9
2024_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,QE2,2024,2,73,139,169,991
12month_rolling,Plastic Surgery,Breast Reduction Surgery,"Singh, Ashvir",,,,,52,147,80,108
3month_rolling,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Total,Provincial,2024,3,70,447,94,287
12month_rolling,General Surgery,All,"Poushay, Heather",,,,,37,371,28,258
3month_rolling,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2024,3,119,188,98,138
3month_rolling,,Carotid Endarterectomy,,Zone 4,QE2,2024,3,,,6,15
2022_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2022,4,54,109,43,283
12month_rolling,Plastic Surgery,Palmar Fascia Excision for Dupuytren's Disease,"Hayden, David",,,,,139,379,72,224
2022_q4,,Shoulder Arthroscopy,,Total,Provincial,2022,4,60,244,151,604
12month_rolling,Plastic Surgery,Breast Reconstruction,"Nel, Corne",,,,,97,161,195,338
2023_q3,,Hernia Repair - Inguinal/Femoral,,Zone 3,St. Martha's Regional,2023,3,61,367,76,300
2022_q4,,Tendon / Ligament Repair,,IWK,IWK,2022,4,,,221,452
2023_q3,,Vitreoretinal Diseases,,Total,Provincial,2023,3,31,146,23,80
2024_q2,,Peritoneal Lavage or Catherization,,Total,Provincial,2024,2,,,14,22
2023_q2,,Carpal Tunnel Surgery,,Zone 4,Hants Community Hospital,2023,2,66,127,56,118
12month_rolling,Thoracic Surgery,Lung Cancer Surgery,"French, Daniel Gerard",,,,,21,49,38,76
2023_q1,,Prostate Surgery,,Zone 4,QE2,2023,1,48,127,120,415
12month_rolling,General Surgery,Hernia Repair - Incisional,"Kelly, Ryan Patrick",,,,,534,1090,143,675
2023_q1,,Knee Scope with ACL Repair,,Total,Provincial,2023,1,53,211,122,298
12month_rolling,Orthopaedic,Knee Scope,"Orlik, Benjamin",,,,,,,151,381
2023_q3,,Knee Scope,,Zone 1,South Shore Regional,2023,3,12,54,94,275
2023_q3,,Hip Arthroscopy,,Total,Provincial,2023,3,74,203,271,1226
2023_q3,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2023,3,143,505,65,120
2023_q3,,Prostate Surgery,,Zone 4,QE2,2023,3,47,179,123,315
2023_q4,,Ear Tubes  (Adult),,Zone 1,Yarmouth Regional,2023,4,,,69,258
12month_rolling,Ophthalmology,All,"Gao, Jennifer",,,,,124,354,75,127
2023_q1,,Cystoscopy,,Zone 4,Dartmouth General,2023,1,36,136,55,131
12month_rolling,Otolaryngology (ENT),Oculo Plastic Surgery,"Brodarec, Ivan",,,,,119,243,150,312
2022_q4,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2022,4,13,21,40,50
2023_q4,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2023,4,62,149,116,232
2024_q1,,Bowel Resection,,Zone 1,South Shore Regional,2024,1,14,44,24,36
2023_q4,,Prostate Surgery,,Zone 3,Northside General,2023,4,48,89,39,57
2023_q1,,Bladder Surgery,,Zone 4,QE2,2023,1,13,41,37,63
2023_q2,,Endometrial Ablation,,Total,Provincial,2023,2,72,333,70,328
2024_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,Dartmouth General,2024,3,20,188,31,73
2022_q3,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2022,3,53,152,108,238
3month_rolling,,Hemorrhoidectomy,,Zone 1,Valley Regional,2024,3,121,608,,
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Stairs, Jocelyn",,,,,107,209,133,292
2022_q3,,Temperomandibular Joint Surgery (TMJ),,Total,Provincial,2022,3,180,370,,
2023_q3,,Bladder Surgery,,Zone 4,QE2,2023,3,8,20,26,68
12month_rolling,Orthopaedic,All,"Leighton, Jennifer Laura",,,,,112,407,101,194
2023_q1,,Knee Replacement - Partial,,Total,Provincial,2023,1,374,584,286,700
2022_q4,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2022,4,20,137,33,54
2023_q2,,Nerve Surgery,,Total,Provincial,2023,2,55,136,97,220
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Azer, Nermine",,,,,744,744,249,342
2023_q2,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2023,2,21,65,36,105
2022_q4,,Cataract Surgery,,Zone 3,St. Martha's Regional,2022,4,177,364,55,138
2022_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,South Shore Regional,2022,4,46,108,57,161
2022_q4,,Nerve Surgery,,Total,Provincial,2022,4,81,415,43,153
12month_rolling,Ophthalmology,Lacrimal Duct Probing,"Dahrab, Mishari M",,,,,133,187,133,187
12month_rolling,Orthopaedic,Knee Replacement,"Boudreau, Dennis Todd",,,,,137,619,76,151
3month_rolling,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2024,3,258,580,33,172
2022_q4,,Hip Replacement,,Zone 3,Cape Breton Regional,2022,4,146,198,143,272
2023_q3,,Hip Replacement,,Zone 2,Aberdeen Hospital,2023,3,216,311,55,329
12month_rolling,General Surgery,Pancreas Surgery,"Gala Lopez, Boris",,,,,14,25,31,57
2022_q3,,Gastric Surgery - Laparoscopic,,Total,Provincial,2022,3,49,269,82,575
2023_q2,,Hernia Repair  (Adult),,Zone 1,Valley Regional,2023,2,40,177,47,440
2023_q4,,Cataract Surgery,,Zone 1,Soldiers Memorial,2023,4,62,96,72,220
2024_q2,,Hernia Repair - Inguinal/Femoral,,Zone 3,St. Martha's Regional,2024,2,13,42,133,167
2022_q3,,Breast Reconstruction,,Zone 4,QE2,2022,3,183,492,126,471
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Spence, Richard",,,,,95,292,188,596
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Zee, Rebekah",,,,,334,1512,105,231
2022_q3,,Endarterectomy,,Zone 4,QE2,2022,3,,,34,193
12month_rolling,General Surgery,Hernia Repair  (Adult),"Walsh, Mark J",,,,,46,88,108,727
2023_q4,,Gallbladder Surgery,,Zone 4,Dartmouth General,2023,4,122,302,83,178
12month_rolling,Urology,Cystoscopy,"Rendon, Ricardo",,,,,35,204,105,283
12month_rolling,,Manipulation of Extremity,,Zone 4,QE2,2024,3,40,231,21,104
12month_rolling,,Hernia Repair - Laparoscopic Umbilical,,Zone 1,Yarmouth Regional,2024,3,22,46,61,80
12month_rolling,Urology,Male Reproductive System Surgery,"Cox, Ashley",,,,,197,286,101,182
2022_q3,,Liver Surgery,,Zone 4,QE2,2022,3,10,48,17,27
12month_rolling,Obstetrics/Gynaecology,Female Incontinence Surgery,"Clague, Nicholas Paul",,,,,220,345,105,201
12month_rolling,General Surgery,All,"Proctor, Irma Joan",,,,,4,19,29,62
2022_q4,,Female Incontinence Surgery,,Total,Provincial,2022,4,122,543,135,596
2023_q2,,Knee Scope,,Zone 2,Aberdeen Hospital,2023,2,85,208,32,151
3month_rolling,,Cataract Surgery,,Zone 1,South Shore Regional,2024,3,120,154,76,417
12month_rolling,General Surgery,Gallbladder Surgery,"Poushay, Heather",,,,,85,346,115,385
2023_q2,,Bowel Resection - Laparoscopic,,Zone 4,Dartmouth General,2023,2,16,52,24,55
2024_q2,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2024,2,72,335,91,360
12month_rolling,General Surgery,Hernia Repair - Umbilical,"MacFarlane, David",,,,,41,427,96,142
12month_rolling,Urology,Prostate Surgery - Laparoscopic,"Rendon, Ricardo",,,,,23,114,151,202
2023_q2,,Cataract Surgery,,Zone 3,Cape Breton Regional,2023,2,35,167,33,77
12month_rolling,Obstetrics/Gynaecology,All,"Brooks, Melissa",,,,,213,399,63,232
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Piccott, Devin",,,,,8,65,75,116
2023_q2,,Bowel Resection,,Zone 1,Valley Regional,2023,2,49,318,42,88
3month_rolling,,Hip Replacement,,Zone 2,Aberdeen Hospital,2024,3,72,232,97,268
2023_q1,,Cystoscopy,,Total,Provincial,2023,1,35,149,36,227
2023_q4,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2023,4,41,109,93,304
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Osasere, Michael",,,,,47,187,168,532
2022_q3,,Strabismus Surgery  (Pediatric),,IWK,IWK,2022,3,97,168,146,301
2023_q3,,Cystoscopy,,Total,Provincial,2023,3,39,152,39,233
2023_q1,,Liver Surgery,,Total,Provincial,2023,1,18,46,29,55
2022_q3,,Dental Extractions and Restorations  (Adult),,Total,Provincial,2022,3,77,324,70,371
2022_q4,,Shoulder Arthroplasty,,Zone 1,Valley Regional,2022,4,,,390,751
12month_rolling,,Bowel Resection - Laparoscopic,,Zone 1,Yarmouth Regional,2024,3,16,175,28,198
2024_q1,,Hysteroscopy,,IWK,IWK,2024,1,49,362,50,132
3month_rolling,,Cleft Lip/Palate  (Pediatric),,Total,Provincial,2024,3,,,165,182
12month_rolling,General Surgery,Lymph Node Biopsy,"Drohan, Ashley",,,,,16,20,16,37
2022_q3,,Liver Surgery,,Total,Provincial,2022,3,10,48,17,27
2023_q2,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2023,2,50,111,37,202
2023_q4,,Tendon / Ligament Repair,,IWK,IWK,2023,4,,,101,319
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Roach, Eileen",,,,,18,63,21,54
2023_q4,,Strabismus Surgery  (Pediatric),,Total,Provincial,2023,4,167,349,190,293
2022_q4,,Breast Cancer Surgery,,Zone 4,QE2,2022,4,,,25,284
2023_q4,,Ear Tubes  (Pediatric),,Total,Provincial,2023,4,118,258,73,176
12month_rolling,,Hysteroscopy,,Total,Provincial,2024,3,44,279,52,138
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Drohan, Ashley",,,,,11,13,20,56
2022_q4,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Martha's Regional,2022,4,,,68,235
12month_rolling,Urology,Female Incontinence Surgery,"Bailly, Greg G",,,,,94,175,93,185
2023_q1,,Cornea and External Disease,,Total,Provincial,2023,1,46,216,142,363
2024_q3,,Hip Arthroscopy,,Total,Provincial,2024,3,90,101,230,573
12month_rolling,Orthopaedic,All,"Richardson, Christopher Glen",,,,,65,121,416,1394
2024_q3,,Gallbladder Surgery,,Zone 1,Valley Regional,2024,3,42,336,63,240
2023_q4,,Breast Reconstruction,,Total,Provincial,2023,4,60,360,53,306
2023_q3,,Gallbladder Surgery,,Zone 2,Cumberland Regional,2023,3,7,56,49,101
12month_rolling,Orthopaedic,Shoulder Arthroscopy,"Urquhart, Nathan Alexander",,,,,27,338,104,324
2022_q3,,Bone / Cartilage Graft,,Total,Provincial,2022,3,26,67,88,175
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"MacFarlane, David",,,,,160,300,21,40
3month_rolling,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2024,3,13,32,20,29
12month_rolling,General Surgery,Peritoneal Lavage or Catherization,"Hiebert, Stephanie",,,,,23,38,12,25
2024_q1,,Back Surgery  (Pediatric),,IWK,IWK,2024,1,,,314,539
3month_rolling,,Carpal Tunnel Surgery,,Zone 1,Yarmouth Regional,2024,3,,,66,134
2022_q4,,Cystoscopy,,Zone 1,Valley Regional,2022,4,23,118,41,355
2022_q3,,Aneurysm Repair,,Total,Provincial,2022,3,28,65,48,139
3month_rolling,,Kidney Stone Surgery,,Zone 2,Colchester East Hants Health Centre,2024,3,8,70,75,246
12month_rolling,Obstetrics/Gynaecology,All,"Clague, Nicholas Paul",,,,,68,330,90,195
2023_q2,,Chest Scopes  (Adult),,Total,Provincial,2023,2,14,20,13,51
2024_q1,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2024,1,40,105,33,81
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Butler, Clay K",,,,,14,14,26,91
2024_q3,,Orthopaedic Trauma,,Total,Provincial,2024,3,8,92,10,134
12month_rolling,,Osteotomy,,Zone 4,QE2,2024,3,98,635,64,156
2023_q3,,Endometrial Ablation,,Zone 1,Valley Regional,2023,3,,,106,239
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2024,3,267,526,204,685
2022_q4,,Pacemaker Insertion,,Zone 1,Valley Regional,2022,4,,,9,30
3month_rolling,,Bowel Resection,,Zone 1,Valley Regional,2024,3,15,91,36,73
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 2,Aberdeen Hospital,2024,3,,,62,458
2024_q1,,Nissen Fundoplication - Laparoscopic,,Total,Provincial,2024,1,84,475,176,477
2022_q4,,Male Circumcision  (Pediatric),,IWK,IWK,2022,4,,,180,576
2023_q4,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2023,4,6,20,21,42
12month_rolling,,Pilonidal Cyst Surgery,,Zone 4,Dartmouth General,2024,3,240,859,223,603
12month_rolling,,Hernia Repair - Parastomal,,Total,Provincial,2024,3,,,61,364
12month_rolling,Obstetrics/Gynaecology,All,"Noel, Carolyn",,,,,10,20,37,57
12month_rolling,Orthopaedic,Shoulder Arthroscopy,"Hamilton, Christopher",,,,,244,309,59,115
12month_rolling,Urology,All,"Rent, Kenneth",,,,,22,100,35,132
12month_rolling,Obstetrics/Gynaecology,All,"Kupfer, Nathalie",,,,,39,427,47,102
2023_q2,,Breast Cancer Surgery,,IWK,IWK,2023,2,19,27,35,56
2024_q2,,Male Circumcision  (Pediatric),,Total,Provincial,2024,2,,,62,874
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Vermeer, Julie",,,,,30,137,58,170
2023_q4,,Male Circumcision  (Adult),,Total,Provincial,2023,4,61,240,125,409
2024_q1,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2024,1,17,32,20,43
2023_q3,,Manipulation of Extremity,,Total,Provincial,2023,3,,,61,115
2023_q3,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2023,3,,,34,119
2023_q2,,Cystoscopy,,Zone 4,QE2,2023,2,47,140,45,222
12month_rolling,Dental,Dental Extractions and Restorations  (Adult),"Eagles, Arthur",,,,,56,56,110,188
2023_q2,,Dental Extractions and Restorations  (Adult),,Total,Provincial,2023,2,130,282,86,452
12month_rolling,Otolaryngology (ENT),Tonsillectomy and/or Adenoidectomy  (Adult),"Wasl, Hisham Ali",,,,,17,29,339,393
2022_q4,,Gastrointestinal Tract Surgery,,Total,Provincial,2022,4,48,275,50,330
2023_q4,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2023,4,25,40,31,92
2022_q4,,Breast Cancer Surgery,,IWK,IWK,2022,4,13,25,23,41
12month_rolling,,Hernia Repair - Laparoscopic Incisional,,Zone 4,Dartmouth General,2024,3,98,195,281,418
2023_q3,,Knee Scope,,Zone 4,Dartmouth General,2023,3,79,401,105,231
12month_rolling,General Surgery,All,"Lapierre, Stephanie",,,,,23,382,30,141
2023_q4,,Bladder Cancer Surgery,,Zone 1,Yarmouth Regional,2023,4,,,34,117
2023_q3,,Breast Reconstruction,,Zone 4,QE2,2023,3,31,77,98,586
2022_q3,,Shoulder Arthroscopy,,Total,Provincial,2022,3,77,259,165,366
12month_rolling,Urology,Kidney Stone Surgery,"Puthenparumpil, Jacob",,,,,16,101,75,157
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Kujath, Magdalena",,,,,28,100,61,251
12month_rolling,Urology,Bladder Cancer Surgery,"McGregor, Thomas",,,,,33,33,18,108
2024_q3,,Hysteroscopy,,Total,Provincial,2024,3,40,230,60,129
12month_rolling,Orthopaedic,Shoulder Arthroscopy,"Biddulph, Michael Paul",,,,,39,60,162,507
12month_rolling,,Bariatric Surgery (for Weight Loss),,Zone 4,Dartmouth General,2024,3,74,157,70,165
12month_rolling,General Surgery,Gallbladder Surgery,"King, Jenelle",,,,,22,70,44,255
